,time,temperature_2m,relativehumidity_2m,apparent_temperature,surface_pressure,snowfall,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,windspeed_10m,winddirection_10m,et0_fao_evapotranspiration,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,days_since_Jan1_2000,season
43719,2018-10-31T14:00,8.5,70,6.0,978.7,0.0,222.0,80.0,142.0,155.0,12.6,177,0.13,5.9,0.338,6878.583333333333,Fall
49614,2018-12-11T13:00,-7.6,70,-8.1,988.0,0.0,277.0,191.0,86.0,591.8,6.5,174,0.07,1.6,0.244,6919.541666666667,Fall
40642,2018-10-10T05:00,17.6,96,18.5,999.7,0.0,0.0,0.0,0.0,0.0,10.1,180,0.0,18.4,0.244,6857.208333333333,Fall
48609,2018-12-04T13:00,-4.0,50,-8.8,997.8,0.0,222.0,88.0,134.0,153.4,18.3,324,0.08,4.5,0.269,6912.541666666667,Fall
48527,2018-12-03T23:00,0.8,81,-0.1,982.7,0.0,0.0,0.0,0.0,0.0,15.3,309,0.03,3.3,0.309,6911.958333333333,Fall
38649,2018-09-26T09:00,19.4,90,21.3,981.2,0.0,238.0,85.0,153.0,149.5,20.9,195,0.15,16.5,0.247,6843.375,Fall
49802,2018-12-12T20:00,-11.2,67,-13.4,991.5,0.0,0.0,0.0,0.0,0.0,5.4,42,0.0,0.7,0.314,6920.833333333333,Fall
48019,2018-11-30T11:00,-0.6,79,-2.5,989.0,0.0,182.0,53.0,129.0,228.8,3.2,297,0.06,3.7,0.253,6908.458333333333,Fall
42409,2018-10-22T12:00,7.2,54,4.6,999.0,0.0,377.0,143.0,234.0,398.5,10.4,256,0.18,5.9,0.232,6869.5,Fall
39822,2018-10-04T13:00,23.9,68,23.5,990.7,0.0,514.0,251.0,263.0,392.7,15.6,209,0.33,19.7,0.27,6851.541666666667,Fall
49528,2018-12-10T22:00,-6.2,61,-8.8,998.3,0.0,0.0,0.0,0.0,0.0,5.1,4,0.0,-0.4,0.246,6918.916666666667,Fall
46663,2018-11-21T01:00,-4.4,72,-8.3,996.8,0.0,0.0,0.0,0.0,0.0,4.8,297,0.0,4.6,0.248,6899.041666666667,Fall
38308,2018-09-24T00:00,9.2,89,4.9,984.0,0.0,0.0,0.0,0.0,0.0,10.3,12,0.0,10.8,0.17,6841.0,Fall
38572,2018-09-25T20:00,14.3,96,13.1,1002.1,0.0,0.0,0.0,0.0,0.0,17.0,167,0.0,16.5,0.22,6842.833333333333,Fall
383,2018-01-03T15:00,-5.4,56,-9.0,998.6,0.0,184.0,43.0,141.0,344.9,9.0,180,0.06,-1.3,0.239,6577.625,Winter
8208,2018-02-27T00:00,-3.8,78,-4.1,994.8,0.0,0.0,0.0,0.0,0.0,7.7,242,0.01,-0.6,0.272,6632.0,Winter
3658,2018-01-26T09:00,-15.7,72,-16.6,989.6,0.0,170.0,123.0,47.0,499.6,3.3,283,0.02,-0.9,0.268,6600.375,Winter
6387,2018-02-14T08:00,-1.6,80,-3.9,1003.6,0.0,66.0,37.0,29.0,0.0,11.8,200,0.03,-2.0,0.293,6619.333333333333,Winter
1278,2018-01-09T21:00,-4.5,84,-6.3,991.9,0.0,0.0,0.0,0.0,0.0,6.9,317,0.01,-0.8,0.305,6583.875,Winter
6599,2018-02-15T19:00,4.0,88,3.4,985.3,0.0,0.0,0.0,0.0,0.0,8.6,195,0.0,-0.5,0.292,6620.791666666667,Winter
52464,2018-12-31T08:00,-7.7,93,-9.6,978.4,0.0,9.0,1.0,8.0,0.0,5.8,184,0.0,-0.4,0.272,6939.333333333333,Winter
2307,2018-01-17T00:00,-8.1,91,-12.3,997.5,0.07,0.0,0.0,0.0,0.0,6.1,177,0.0,-0.5,0.264,6591.0,Winter
2407,2018-01-17T17:00,-0.9,90,-3.7,997.3,0.14,7.0,0.0,7.0,1.1,8.6,303,0.01,-2.3,0.276,6591.708333333333,Winter
4359,2018-01-31T06:00,-16.9,84,-18.7,994.5,0.0,0.0,0.0,0.0,0.0,5.9,317,0.0,-0.9,0.263,6605.25,Winter
1341,2018-01-10T07:00,-13.3,89,-19.3,1000.9,0.0,0.0,0.0,0.0,0.0,7.7,118,0.0,-1.0,0.226,6584.291666666667,Winter
3999,2018-01-28T18:00,0.4,93,-2.3,996.8,0.0,0.0,0.0,0.0,0.0,9.8,8,0.01,-0.7,0.295,6602.75,Winter
3916,2018-01-28T04:00,3.0,94,2.5,1001.9,0.0,0.0,0.0,0.0,0.0,8.7,210,0.0,0.1,0.288,6602.166666666667,Winter
51961,2018-12-27T20:00,-8.9,68,-10.8,987.3,0.0,0.0,0.0,0.0,0.0,3.9,124,0.0,-0.4,0.249,6935.833333333333,Winter
9753,2018-03-09T17:00,0.1,68,-5.8,973.6,0.0,119.0,32.0,87.0,186.9,5.9,313,0.03,-0.1,0.238,6642.708333333333,Winter
6917,2018-02-18T00:00,-3.9,80,-8.3,985.3,0.07,0.0,0.0,0.0,0.0,14.9,187,0.01,-0.2,0.246,6623.0,Winter
51313,2018-12-23T08:00,-5.3,57,-9.5,985.8,0.0,12.0,6.0,6.0,0.0,10.9,297,0.02,-0.3,0.355,6931.333333333333,Winter
